date,category,title,amount
2018-11-02,Viagem,Arraial - Passeio barco 2/2,80
2018-11-02,Eletrônicos,Mixer Cozinha 3/3,42.62
2018-11-02,Educação,Xbox 8/10,143.36
2018-11-02,Viagem,Arraial - Aéreo 2/6,109.48
2018-11-02,Restaurante,Café manhã,3.9
2018-11-03,Supermercado,Supermercado,54.29
2018-11-05,Transporte,Uber do Brasil Tecnolo,22.9
2018-11-06,Supermercado,Supermercado,5.99
2018-11-09,Educação,Pós Graduação,488.35
2018-11-09,Outros,Carro - Oleo e Alinhanento 1/2,34.95
2018-11-09,Outros,Seguro Carro,105.93
2018-11-09,Outros,Energia CPFL,77.77
2018-11-09,Transporte,Auto Posto Boulevard L,110.14
2018-11-09,Restaurante,Almoço,8.2
2018-11-09,Restaurante,Fernando,51.5
2018-11-09,Pagamento,Pagamento recebido,-3947.74
2018-11-09,Outros,Água Sanasa,76.3
2018-11-09,Restaurante,Cafe Com Bolo,18.3
2018-11-09,Outros,Internet Fixa Vivo,99.99
2018-11-09,Transporte,Race Pneus,68
2018-11-10,Serviços,Netflix.Com,19.9
2018-11-10,Supermercado,Churras,22
2018-11-10,Supermercado,Churras,12
2018-11-12,Saúde,Farmácia,80.89
2018-11-12,Outros,Janta,28
2018-11-12,Supermercado,Supermercado,166.67
2018-11-12,Saúde,Cabeleireiro,49
2018-11-13,Saúde,Farmácia,19.61
2018-11-14,Transporte,Estacionamento,6
2018-11-14,Viagem,Arraial - Aluguel Carro 1/3,87.2
2018-11-15,Restaurante,Arraial - Praia dia 1,118
2018-11-15,Supermercado,Arraial - Supermercado,80.01
2018-11-15,Restaurante,Café manhã,15.15
2018-11-15,Transporte,Arraial - Combustivel,87.18
2018-11-16,Restaurante,Top Shake,5
2018-11-16,Restaurante,Arraial - Jantar dia 2,102
2018-11-16,Supermercado,Arraial - Supermercado,45.37
2018-11-16,Restaurante,Arraial -Almoço dia 2,56
2018-11-17,Serviços,Vivo Internet Móvel,59.99
2018-11-17,Restaurante,Arraial - Jantar dia 3,182.16
2018-11-19,Transporte,Arraial - Combustivel,42.42
2018-11-19,Lazer,Rio - Passeio Cristo,158
2018-11-19,Supermercado,Jantar,9.42
2018-11-19,Supermercado,Churras,33
2018-11-19,Supermercado,Churras,23
2018-11-19,Restaurante,Almoço,24.3
2018-11-19,Restaurante,Rio - Almoço,52
2018-11-19,Transporte,Rio - Sorvete,14.7
2018-11-19,Transporte,Rio - Transporte,8.3
2018-11-19,Transporte,Jantar,6.49
2018-11-20,Transporte,Rio - Passeio bonde,40
2018-11-20,Restaurante,Café,10.4
2018-11-20,Transporte,Rio - Transporte,10.75
2018-11-20,Restaurante,Café da manhã,16.9
2018-11-20,Transporte,Rio - Transporte,10.8
2018-11-21,Transporte,Rio - Transporte,49.1
2018-11-22,Transporte,Estacionamento,6
2018-11-22,Saúde,Farmácia,88.58
2018-11-22,Ajuste,Crédito de "Rio - Passeio Cristo",-158
2018-11-23,Transporte,Combustivel,114.01
2018-11-26,Lazer,Utilidades domésticas,120.92
2018-11-26,Casa,Sam - Compras diversas,504.18
2018-11-27,Casa,Sam - Compras diversas,19.71
2018-11-27,Supermercado,Jantar,22
2018-11-28,Supermercado,Churras,27.33
